City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
168,Jalu,LY,90.81,overcast clouds,29.0331,21.5482,صاحبة الفخامة
228,Cadereyta,MX,90.59,broken clouds,25.5833,-99.9833,Hotel Maria Luisa Inn and Suites
244,Bilma,NE,92.21,scattered clouds,18.6853,12.9164,Expeditions Ténére voyages
247,Oro Valley,US,94.08,clear sky,32.3909,-110.9665,"El Conquistador Tucson, A Hilton Resort"
394,Diapaga,BF,90.55,scattered clouds,12.0708,1.7889,Mairie Diapaga
542,Safford,US,92.32,clear sky,32.834,-109.7076,SpringHill Suites by Marriott Thatcher
637,Aguie,NE,90.9,scattered clouds,13.506,7.7786,Hôtel Aguié Koanin
639,San Antonio,US,91.15,scattered clouds,29.4241,-98.4936,Drury Plaza Hotel San Antonio Riverwalk
667,Matamoros,MX,96.33,overcast clouds,25.5333,-103.25,Quinta Belem
670,Deshnok,IN,90.01,scattered clouds,27.7986,73.3447,Royal Karni palace
680,Providencia,MX,92.21,clear sky,28.7167,-111.5833,
